id,played_first,moves,winner
1,1,"2,3,3,4,3,5,6,4,4,5,5,4,5",1
2,1,"2,3,3,4,2,5,2,6",-1
3,1,"3,2,3,1,2,3,1,4,0,0,2,5,3",1
4,1,"3,2,3,1,3,3,2,4,4,1,2,1,1,2,5,4,0,5,0,6",-1
5,1,"3,4,3,4,3,4,3",1
6,-1,"3,4,3,4,3,4,3",-1
7,1,"0,6,3,3,1,2,4,4,1,4,1,1,5,5,2,6",-1
8,1,"0,4,1,4,2,5,3",1
9,1,"1,4,5,4,5,4,6,4",-1
10,1,"2,3,2,4,2,5,2",1
11,1,"3,3,2,3,3,3,4,3,5",1
12,1,"2,3,2,4,5,4,2,5,2",1
13,-1,"3,3,4,4,4,2,2,3,3,5,2,2",1
14,-1,"3,2,3,1,4,0,5,2,6",-1
15,1,"2,3,3,3,4,3,2,4,2,4,1,4,1,5,1,5,1",1
16,-1,"3,2,3,1,4,0,5,6,4,5,4,2,4",-1
17,1,"2,3,3,3,4,3,2,4,2,4,1,4,1,5,0,5,1,5,1",1
18,-1,"3,4,4,5,4,5,4,5,4",-1
19,1,"3,3,2,3,4,3,3,3,1",1
20,-1,"3,0,4,1,4,2,5,2,6",-1
21,1,"3,3,2,3,1,3,3,2,0",1
22,1,"3,3,2,3,1,3,3,2,1,0,1,0,2,3,2,2,6,2,5,5,6,1,6,5,5,5,5,1,1,0",-1
23,1,"3,3,2,3,6,3,3,2,4,3,4,1,4,1,0,1,0,1",-1
24,1,"3,3,2,3,1,3,3,2,5,0,1,0,2,3,1,5,6,2,0,5,6,5,6,5",-1
25,1,"3,3,2,3,1,3,2,3",-1
26,1,"4,3,4,4,3,3,2,3,2,4,6,4,6,4",-1
27,1,"2,3,4,3,5,4,6,4,6,4,4,1,1,1,1,1,1,0,0,0,2,0,0,0,5,4,6,5,6",1
28,-1,"3,4,4,3,4,3,4,4,5,5,5,6,5,3,5,2,5",-1
29,1,"1,4,2,4,3,3,5,5,2,2,6,6",-1
30,1,"3,3,2,3,4,3,4,3",-1
31,1,"6,4,2,4,3,3,2,4,4,2,1,2,1,4,1,1",-1
32,1,"3,3,2,3,4,3,3,3,4,1,5",1
33,-1,"3,2,3,1,4,5,4,3,5,2,5,6,6",-1
34,1,"3,3,2,3,1,3,3,2,1,0,2,1,0,1,6,4,6,1,6,1",-1
35,1,"3,3,3,3,3,2,4,2,4,3,4,4,5,5,2,5,2",1
36,-1,"3,2,3,1,4,2,4,2,5,6,4,4,2,5,3",-1
38,-1,"3,2,3,2,4,2,5,6,4,5,4,4,4,3,4,1",1
39,1,"2,3,1,4,1,4,1,5,6,4,4,2,6,1,6,1,5,3,5,2",-1
40,1,"3,3,2,3,1,3,0",1
41,1,"3,3,2,3,1,3,3,2,1,0,1,0,2,3,6,5,4",1
42,-1,"3,2,3,2,4,2,5,2",1
43,-1,"3,4,4,3,3,2,3,2,4,2,4,2",1
44,-1,"3,0,4,1,4,1,4,4,4,1,4,1",1
45,-1,"3,0,4,0,6,0,5",-1
46,1,"3,3,4,3,5,3,2",1
50,-1,"3,4,4,2,3,2,4,2,5,2",1
53,-1,"3,6,4,6,4,6,1,6",1
54,-1,"3,0,4,0,6,5,6,0,6,0",1
59,-1,"3,0,4,0,6,5,6,0,5,0",1
61,-1,"3,6,4,6,4,6,6,2,5,3,5,4,5",-1
64,-1,"3,0,4,1,4,2,5,6,4,4,3,2,4,2,4,2",1
66,-1,"3,6,4,6,4,6,6,2,5,2,6,2,5,2",1
67,-1,"3,2,3,2,4,2,5,6,4,5,4,4,4,2",1
68,-1,"3,0,4,1,4,1,4,4,4,2,4,2,1,2,1,2",1
69,-1,"3,4,4,3,3,2,3,2,4,2,4,4,5,1,2",-1
72,-1,"3,4,3,4,4,3,4,5,4,4,5,2,5,2,5,5,5,2,6,2",1
73,-1,"3,1,4,1,4,1,4,4,4,1",1
74,-1,"3,2,3,2,4,2,5,6,4,2",1
75,-1,"3,3,3,4,3,2,3,3,4,2,4,2,2,1,5",-1
76,1,"3,3,4,3,5,3,6",1
79,-1,"3,6,4,6,4,6,6,0,5,2,5,0,5",-1
80,1,"2,3,3,3,4,3,4,3,3,4,2,4,1,4,1",1
82,-1,"3,4,3,4,4,5,4,5,4,4,5,2,5,2,5,5,0,2,3,2",1
83,-1,"3,1,4,1,4,1,4,1",1
85,1,"2,3,2,4,2,5,6,4,2",1
86,-1,"3,2,3,1,4,0,5,6,4,5,4,4,4,2,4,2,1,2",1
87,-1,"3,6,4,5,4,5,4,4,4,3,4,2,1,2,1,2,2,3,1,1,1,0,1,0,2,0,3",-1
